type_clothes,adress2,image_link2,price2
Polo Lacoste pour enfants,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5344468_uploaded_image1_1748167535.jpg,4000.0
Emsemble pour enfants 3 pièces,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5344462_uploaded_image1_1748167236.jpg,8000.0
Ensemble pour enfants de 1ans à 3ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342641_uploaded_image1_1748035425.jpg,7000.0
Ensemble pour enfants de 2ans a 6ans coton,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342650_uploaded_image1_1748035854.jpg,7000.0
Ensemble pour enfants de 2ans a 12ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342643_uploaded_image1_1748035562.jpg,7000.0
Ensemble pour enfants de 3ans jusqu'à 8ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342638_uploaded_image1_1748035029.jpg,7000.0
Ensemble pour enfants 6mois à 4ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342633_uploaded_image1_1748034778.jpg,4000.0
Ensemble pour enfants coton,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342628_uploaded_image1_1748034550.jpg,7000.0
Survêtement coton pour enfants ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5342624_uploaded_image1_1748034284.jpg,1500.0
Ensemble bébé,"HLM, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5385373_uploaded_image1_1750509886.51.jpeg,1522765.1515151516
Ensemble enfant,"HLM, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5385364_uploaded_image1_1750509649.41.jpeg,1522765.1515151516
Ensemble pour bébé,"HLM, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5385356_uploaded_image1_1750509151.08.jpeg,1522765.1515151516
Habillement enfant,"HLM, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5385294_uploaded_image1_1750506744.37.jpeg,4000.0
Ensemble pour enfants ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5328806_uploaded_image1_1747290315.jpg,8000.0
Robe enfant ,"Ouakam, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5336896_uploaded_image1_1747744426.jpg,1522765.1515151516
Emsemble coton ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5290112_uploaded_image1_1745150419.jpg,7000.0
Emsemble  Coton ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5289213_uploaded_image1_1745070585.jpg,6000.0
Vetements et accéssoires pour bébé,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5281282_uploaded_image1_1744639610.jpg,1522765.1515151516
Gamme et vetement pour bébé,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5281278_uploaded_image1_1744639447.jpg,1522765.1515151516
Brassière kids,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5321500_uploaded_image1_1746889004.jpg,3000.0
Vetement enfant ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg,1522765.1515151516
Ensemble pour enfants,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5309005_uploaded_image1_1746217976.jpg,6000.0
Ensemble enfants,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5309001_uploaded_image1_1746217790.jpg,6000.0
Ensemble pour enfants,"Diamalaye 1, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5308995_uploaded_image1_1746217632.jpg,6000.0
Chemise enfants ,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5263591_uploaded_image1_1743688903.jpg,15000.0
Abaya pour Anfna ,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5263587_uploaded_image1_1743688774.jpg,10000.0
Djalaba ,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5257015_uploaded_image1_1743325512.jpg,7500.0
Sous vetement enfant,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg,1000.0
Robe Afne,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5243665_uploaded_image1_1742560242.jpg,15000.0
Robes enfant ,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5283049_uploaded_image1_1744729140.jpg,1522765.1515151516
Robes enfant,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5283005_uploaded_image1_1744727750.jpg,1522765.1515151516
Dialaba  2 pièces,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5233364_uploaded_image1_1742035732.jpg,7000.0
Dialab,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5228687_uploaded_image1_1741791237.jpg,15000.0
Dialab 3 pièces  3ans jusqua 16ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5228280_uploaded_image1_1741779191.jpg,12000.0
Dialab pour enfant de 1ans jusqua 16ans    ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5227274_uploaded_image1_1741722024.jpg,10000.0
Dialab enfant 3pièces ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5227233_uploaded_image1_1741720597.jpg,12000.0
Ensemble dialab enfants 3pièces ,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5214607_uploaded_image1_1741112466.jpg,15000.0
Ensemble dialab pour enfant de 3ans jusqua 16ans,"Colobane, Dakar, Sénégal",https://sn.coinafrique.com/categorie/vetements-enfantshttps://images.coinafrique.com/thumb_5214582_uploaded_image1_1741111696.jpg,7000.0
