web_scraper_order,web_scraper_start_url,image_link,address,price,type clothes
"1765138261-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3024581_uploaded_image1_1616870758.jpg","HLM, Dakar, Sénégal","9 500CFA","Ensemble pour bébé"
"1765138261-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3019124_uploaded_image1_1616606467.jpg","Dakar, Sénégal","Prix sur demande","Vêtements pour enfant de 0 à 13ans"
"1765138261-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3017358_uploaded_image1_1616523355.jpg","Colobane, Dakar, Sénégal","2 000CFA","Ensemble chemise - pantalon enfant"
"1765138261-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3017355_uploaded_image1_1616523288.jpg","Colobane, Dakar, Sénégal","2 000CFA","Pantalon jeans enfants"
"1765138261-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3013660_uploaded_image1_1616353788.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","3 000CFA","Vêtements enfant"
"1765138261-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3013647_uploaded_image1_1616353124.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","3 500CFA","Vêtements bébé"
"1765138261-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3012395_uploaded_image1_1616265641.jpg","Colobane, Dakar, Sénégal","6 000CFA","Pantalon jeans friperie enfants"
"1765138261-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3012391_uploaded_image1_1616265553.jpg","Colobane, Dakar, Sénégal","5 000CFA","Ensemble chemise - pantalon jeans friperie"
"1765138261-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3012387_uploaded_image1_1616265415.jpg","Colobane, Dakar, Sénégal","3 000CFA","Pantalon jeans friperie"
"1765138261-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3008320_uploaded_image1_1616068246.jpg","HLM, Dakar, Sénégal","Prix sur demande","Grenouillère bébé"
"1765138261-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_3000888_uploaded_image1_1615698089.jpg","Dakar, Sénégal","Prix sur demande","Lot de vêtements friperie de 0 à 12ans"
"1765138261-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2997124_uploaded_image1_1615491439.jpg","Dieuppeul-Derklé, Dakar, Sénégal","8 000CFA","Ensemble maillots enfants"
"1765138261-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2991324_uploaded_image1_1615228431.jpg","Parcelle Assainies, Dakar, Sénégal","15 000CFA","Robes filles"
"1765138261-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2983859_uploaded_image1_1614848831.jpg","Grand Yoff, Dakar, Sénégal","5 000CFA","Vêtements  bébé"
"1765138261-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2981375_uploaded_image1_1614732549.jpg","Dieuppeul-Derklé, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138261-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2979283_uploaded_image1_1614675070.jpg","Patte d'oie, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138261-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2971081_uploaded_image1_1614264447.jpg","Hann Bel-Air, Dakar, Sénégal","7 000CFA","Vêtements bébé"
"1765138261-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2970911_uploaded_image1_1614259523.jpg","Fass, Dakar, Sénégal","1 500CFA","Caleçon enfant"
"1765138261-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2970729_uploaded_image1_1614253943.jpg","HLM, Dakar, Sénégal","5 000CFA","Ensemble enfant"
"1765138261-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2961090_uploaded_image1_1613766742.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138261-21","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2961086_uploaded_image1_1613766640.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Vêtements bébé"
"1765138261-22","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2961083_uploaded_image1_1613766533.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138261-23","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2959262_uploaded_image1_1613679806.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Vêtements pour nouveau né"
"1765138261-24","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2959258_uploaded_image1_1613679707.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138261-25","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2959257_uploaded_image1_1613679631.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Vêtements nouveau-né"
"1765138261-26","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2959255_uploaded_image1_1613679558.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Vêtements  bébé"
"1765138261-27","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2959248_uploaded_image2_1613679445.jpeg","Ouakam, Dakar, Sénégal","Prix sur demande","Vêtements bébé"
"1765138261-28","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2959193_uploaded_image1_1613676990.jpg","Dakar, Sénégal","20 000CFA","Kit de prière pour garçon"
"1765138261-29","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2959180_uploaded_image1_1613676547.jpg","Dakar, Sénégal","20 000CFA","Kit de prière pour fille"
"1765138261-30","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2958974_uploaded_image1_1613669656.jpg","Dakar, Sénégal","3 000CFA","Vêtements bébé"
"1765138261-31","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2958970_uploaded_image1_1613669538.jpg","Dakar, Sénégal","3 000CFA","Vêtement bébé"
"1765138261-32","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2956441_uploaded_image1_1613569974.jpg","Dakar, Sénégal","3 500CFA","Sous vêtements fille"
"1765138261-33","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2956437_uploaded_image1_1613569866.jpg","Dakar, Sénégal","6 000CFA","Robe pour filles"
"1765138261-34","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2951605_uploaded_image1_1613355841.jpg","Dieuppeul-Derklé, Dakar, Sénégal","10 000CFA","Ensemble enfants"
"1765138261-35","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2942141_uploaded_image1_1612893757.jpg","Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138261-36","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2940112_uploaded_image1_1612814516.jpg","Dakar, Sénégal","Prix sur demande","Shorts garçon"
"1765138261-37","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2939878_uploaded_image1_1612807579.jpg","Dakar, Sénégal","5 000CFA","Habits enfants"
"1765138261-38","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2939012_uploaded_image1_1612783880.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements friperie enfants"
"1765138261-39","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2938994_uploaded_image1_1612783471.jpg","Colobane, Dakar, Sénégal","2 000CFA","Vêtement enfant"
"1765138261-40","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2938990_uploaded_image1_1612783368.jpg","Colobane, Dakar, Sénégal","2 000CFA","Friperie enfants"
"1765138261-41","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2938986_uploaded_image1_1612783292.jpg","Colobane, Dakar, Sénégal","1 500CFA","Vêtements friperie enfants"
"1765138261-42","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2938981_uploaded_image1_1612783153.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Friperie enfants"
"1765138261-43","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2938979_uploaded_image1_1612783091.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtement enfants"
"1765138261-44","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2938975_uploaded_image1_1612782982.jpg","Colobane, Dakar, Sénégal","3 000CFA","Vêtement enfant"
"1765138261-45","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2938684_uploaded_image1_1612774217.jpg","Colobane, Dakar, Sénégal","3 000CFA","Vêtement enfants"
"1765138261-46","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2938680_uploaded_image1_1612774159.jpg","Colobane, Dakar, Sénégal","2 500CFA","Vêtement enfants"
"1765138261-47","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2938653_uploaded_image1_1612773067.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements enfant"
"1765138261-48","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2933246_uploaded_image1_1612515788.jpg","Dieuppeul-Derklé, Dakar, Sénégal","Prix sur demande","Ensembles enfant"
"1765138261-49","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2925176_uploaded_image1_1612218065.jpg","Dakar, Sénégal","6 000CFA","Vêtements enfants"
"1765138261-50","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2923009_uploaded_image1_1612168840.jpg","Dieuppeul-Derklé, Dakar, Sénégal","Prix sur demande","Ensembles blouson enfants"
"1765138261-51","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2920795_uploaded_image1_1612023107.jpg","HLM, Dakar, Sénégal","8 000CFA","Ensemble bébé sortie de bain"
"1765138261-52","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2919804_uploaded_image1_1611967516.jpg","Dieuppeul-Derklé, Dakar, Sénégal","Prix sur demande","Ensembles blousons"
"1765138261-53","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2913239_uploaded_image1_1611677309.jpg","HLM, Dakar, Sénégal","4 000CFA","Ensemble bébé"
"1765138261-54","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2904738_uploaded_image1_1611251495.jpg","Dakar, Sénégal","2 000CFA","Vêtement enfant"
"1765138261-55","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2904731_uploaded_image1_1611251346.jpg","Dakar, Sénégal","3 000CFA","Vêtement enfant"
"1765138261-56","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2904713_uploaded_image1_1611250923.jpg","Saly, Sénégal","5 000CFA","Tenue mardi gras"
"1765138261-57","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2898864_uploaded_image1_1611023219.jpg","Dakar, Sénégal","8 500CFA","Pull"
"1765138261-58","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2894368_uploaded_image1_1610800978.jpg","HLM, Dakar, Sénégal","15 000CFA","Ensemble veste"
"1765138261-59","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2879908_uploaded_image1_1610201702.jpg","Grand Yoff, Dakar, Sénégal","11 000CFA","Ensemble de fille"
"1765138261-60","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2879903_uploaded_image1_1610201519.jpg","Grand Yoff, Dakar, Sénégal","10 000CFA","Ensemble de fille nouveau né"
"1765138261-61","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2877447_uploaded_image1_1610105451.jpg","Dieuppeul-Derklé, Dakar, Sénégal","12 000CFA","Ensembles blousons"
"1765138261-62","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2862996_uploaded_image1_1609531083.jpg","Saly, Sénégal","2 000CFA","Tenue mardi gras"
"1765138261-63","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2862982_uploaded_image1_1609530664.jpg","Saly, Sénégal","7 000CFA","Tenue mardi gras"
"1765138261-64","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2862977_uploaded_image1_1609530409.jpg","Saly, Sénégal","5 000CFA","Tenue mardi gras"
"1765138261-65","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2862973_uploaded_image1_1609530217.jpg","Saly, Sénégal","5 000CFA","Tenue mardi gras"
"1765138261-66","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2862971_uploaded_image1_1609530110.jpg","Mbour, Sénégal","8 000CFA","Tenues mardi gras"
"1765138261-67","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2855625_uploaded_image1_1609119933.jpg","Dieuppeul-Derklé, Dakar, Sénégal","12 000CFA","Ensemble blouson-pantalon"
"1765138261-68","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2855622_uploaded_image1_1609119638.jpg","Dieuppeul-Derklé, Dakar, Sénégal","12 000CFA","Ensemble blouson-pantalon"
"1765138261-69","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2851844_uploaded_image1_1608894466.jpg","Parcelle Assainies, Dakar, Sénégal","7 000CFA","Vêtements enfants"
"1765138261-70","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2850857_uploaded_image1_1608821060.jpg","Rufisque, Sénégal","Prix sur demande","Robe enfant"
"1765138261-71","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2848670_uploaded_image1_1608723432.jpg","Grand Yoff, Dakar, Sénégal","25 000CFA","Robes de fées"
"1765138261-72","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2848046_uploaded_image1_1608690285.jpg","Dieuppeul-Derklé, Dakar, Sénégal","12 000CFA","Ensemble enfant"
"1765138261-73","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2847552_uploaded_image1_1608661644.jpg","HLM, Dakar, Sénégal","Prix sur demande","Vêtements bébé"
"1765138261-74","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2842909_uploaded_image1_1608475681.jpg","HLM, Dakar, Sénégal","6 000CFA","Lange-bébé"
"1765138261-75","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2841444_uploaded_image1_1608391212.jpg","Ouakam, Dakar, Sénégal","Prix sur demande","Vêtements prêt à porter"
"1765138261-76","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2837197_uploaded_image1_1608213138.jpg","Dakar, Sénégal","12 000CFA","Blousons  enfant"
"1765138261-77","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2831975_uploaded_image1_1608024518.jpg","Ouakam, Dakar, Sénégal","3 500CFA","Ensemble bébé"
"1765138261-78","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2830504_uploaded_image1_1607959137.jpg","Mbour, Sénégal","7 000CFA","Habits garçon"
"1765138261-79","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2827196_uploaded_image1_1607800123.jpg","Ouakam, Dakar, Sénégal","6 000CFA","Robe bébé"
"1765138261-80","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2820655_uploaded_image1_1607533703.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Pyjamas"
"1765138261-81","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2820367_uploaded_image1_1607526579.jpg","Geule Tapée, Dakar, Sénégal","8 500CFA","Ensemble bébé"
"1765138261-82","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2820366_uploaded_image1_1607526578.jpg","Geule Tapée, Dakar, Sénégal","8 500CFA","Ensemble bébé"
"1765138261-83","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2812825_uploaded_image1_1607261843.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Friperie enfants"
"1765138261-84","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","https://images.coinafrique.com/thumb_2812824_uploaded_image1_1607261795.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Friperie enfants"
"1765138264-85","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3137963_uploaded_image1_1622193150.jpg","HLM, Dakar, Sénégal","4 000CFA","Ensemble  pour garçon"
"1765138264-86","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3125676_uploaded_image1_1621537910.jpg","Dakar Plateau, Dakar, Sénégal","7 000CFA","Chemises garçon"
"1765138264-87","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3125619_uploaded_image1_1621534794.jpg","Dakar Plateau, Dakar, Sénégal","7 000CFA","Robes enfants"
"1765138264-88","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3117591_uploaded_image2_1621167673.jpeg","Dieuppeul-Derklé, Dakar, Sénégal","15 000CFA","Robe pour enfants"
"1765138264-89","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3113417_uploaded_image1_1620899489.jpg","Guediawaye, Dakar, Sénégal","20 000CFA","Robe enfant"
"1765138264-90","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3110386_uploaded_image1_1620737846.jpg","Biscuiterie, Dakar, Sénégal","15 000CFA","Robe"
"1765138264-91","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3110145_uploaded_image1_1620730955.jpg","Biscuiterie, Dakar, Sénégal","15 000CFA","Robe"
"1765138264-92","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3106812_uploaded_image1_1620581452.jpg","Almadies, Dakar, Sénégal","5 000CFA","Robe princesse"
"1765138264-93","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3106119_uploaded_image1_1620547487.jpg","Biscuiterie, Dakar, Sénégal","15 000CFA","Robe bazin riche brodé fait main"
"1765138264-94","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3104022_uploaded_image1_1620427612.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements friperie enfants"
"1765138264-95","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3104018_uploaded_image1_1620427485.jpg","Colobane, Dakar, Sénégal","Prix sur demande","Vêtements enfants friperie"
"1765138264-96","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3103497_uploaded_image1_1620407250.jpg","Dakar, Sénégal","12 000CFA","Vêtements enfants"
"1765138264-97","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3101212_uploaded_image1_1620313045.jpg","Parcelle Assainies, Dakar, Sénégal","Prix sur demande","Vêtements enfants"
"1765138264-98","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3100941_uploaded_image1_1620306624.jpg","HLM, Dakar, Sénégal","10 000CFA","Prêt à porter enfants"
"1765138264-99","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3100042_uploaded_image1_1620266770.jpg","Geule Tapée, Dakar, Sénégal","Prix sur demande","Vêtements enfant"
"1765138264-100","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3098724_uploaded_image1_1620219131.jpg","Grand Yoff, Dakar, Sénégal","Prix sur demande","Robe pour bébé"
"1765138264-101","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3098344_uploaded_image1_1620209550.jpg","Dakar, Sénégal","Prix sur demande","Ensemble enfants"
"1765138264-102","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3098340_uploaded_image1_1620209467.jpg","Dakar, Sénégal","Prix sur demande","Robes enfant"
"1765138264-103","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3097531_uploaded_image1_1620165477.jpg","Dakar, Sénégal","Prix sur demande","Ensembles enfants"
"1765138264-104","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3097522_uploaded_image1_1620165342.jpg","Dakar, Sénégal","Prix sur demande","Robes enfants"
"1765138264-105","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3097519_uploaded_image1_1620165230.jpg","Dakar, Sénégal","Prix sur demande","Robes enfants"
"1765138264-106","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3097512_uploaded_image1_1620164877.jpg","Dakar, Sénégal","Prix sur demande","Ensembles pour enfants"
"1765138264-107","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3092548_uploaded_image1_1619979222.jpg","Yoff, Dakar, Sénégal","18 000CFA","Bazin riche avec broderie"
"1765138264-108","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3091601_uploaded_image1_1619937730.jpg","Dakar, Sénégal","8 000CFA","Robe enfant"
"1765138264-109","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3091599_uploaded_image3_1619937608.jpeg","Dakar, Sénégal","7 000CFA","Vêtements Enfants"
"1765138264-110","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3091597_uploaded_image1_1619937516.jpg","Dakar, Sénégal","10 000CFA","Ensemble enfant"
"1765138264-111","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3091593_uploaded_image1_1619937425.jpg","Dakar, Sénégal","10 000CFA","Polo Enfant"
"1765138264-112","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3091582_uploaded_image1_1619937100.jpg","Dakar, Sénégal","10 000CFA","Ensemble enfant"
"1765138264-113","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3091576_uploaded_image1_1619936893.jpg","Dakar Plateau, Dakar, Sénégal","10 000CFA","Robes enfant"
"1765138264-114","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3091356_uploaded_image1_1619918393.jpg","Dakar, Sénégal","Prix sur demande","Vêtements Enfants"
"1765138264-115","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3091353_uploaded_image1_1619918261.jpg","Dakar, Sénégal","3 500CFA","Vêtements Enfants"
"1765138264-116","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3091181_uploaded_image1_1619912235.jpg","Dakar, Sénégal","6 000CFA","Pantalons jeans enfants"
"1765138264-117","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3088972_uploaded_image1_1619825459.jpg","Parcelle Assainies, Dakar, Sénégal","Prix sur demande","Ensemble petit garçon"
"1765138264-118","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3088723_uploaded_image1_1619814031.jpg","Les Parcelles Assainies, Dakar, Sénégal","Prix sur demande","Robe enfant"
"1765138264-119","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3087733_uploaded_image1_1619763855.jpg","Rufisque, Sénégal","Prix sur demande","Tunique enfant"
"1765138264-120","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3087186_uploaded_image1_1619724786.jpg","Grand Yoff, Dakar, Sénégal","1 000CFA","Vêtements friperie enfants"
"1765138264-121","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3086775_uploaded_image1_1619710616.jpg","Colobane, Dakar, Sénégal","2 500CFA","Chemise enfant"
"1765138264-122","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3086774_uploaded_image1_1619710562.jpg","Colobane, Dakar, Sénégal","2 500CFA","Vêtement enfants"
"1765138264-123","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3086770_uploaded_image1_1619710501.jpg","Colobane, Dakar, Sénégal","2 500CFA","Chemise enfant"
"1765138264-124","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3086234_uploaded_image1_1619695623.jpg","Rufisque, Sénégal","Prix sur demande","Robe fillette"
"1765138264-125","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3086230_uploaded_image1_1619695571.jpg","Rufisque, Sénégal","Prix sur demande","Robe fillette"
"1765138264-126","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3086229_uploaded_image1_1619695508.jpg","Rufisque, Sénégal","Prix sur demande","Robe fillette"
"1765138264-127","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3086225_uploaded_image1_1619695446.jpg","Rufisque, Sénégal","Prix sur demande","Robe fillette"
"1765138264-128","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3086220_uploaded_image1_1619695388.jpg","Rufisque, Sénégal","Prix sur demande","Robe fillette"
"1765138264-129","https://sn.coinafrique.com/categorie/vetements-enfants?page=9","https://images.coinafrique.com/thumb_3083787_uploaded_image1_1619562155.jpg","Rufisque, Sénégal","Prix sur demande","Robe fillette"
