type_shoes3,adress3,image_link3,price3
Chaussures enfants ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5231318_uploaded_image1_1741923251.jpg,20000.0
Chaussures enfants ,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5231304_uploaded_image1_1741922219.jpg,15000.0
Chaussures enfant ,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5181134_uploaded_image1_1739295232.jpg,8500.0
Chaussures enfant ,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5181139_uploaded_image1_1739295381.jpg,7000.0
Chaussures enfant,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg,10000.0
Baskets Nike Jordan ,"Mbao, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5210436_uploaded_image1_1740934512.jpg,20000.0
Ballerines enfants ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5141832_uploaded_image1_1737242187.jpg,12000.0
Chaussures enfants ,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg,2000.0
Baskets enfant ,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5080430_uploaded_image1_1733555952.jpg,3500.0
Basket,"Parcelle Assainies, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5080428_uploaded_image1_1733555768.jpg,5000.0
Claquettes,"Fass, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5047806_uploaded_image1_1731804849.jpg,8450.0
Ensemble chaussures et chaussettes pour bebe,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg,1800.0
Ballerines enfants ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_5002639_uploaded_image1_1729418695.jpg,10718.75
Baskets Nike Air Max,"Yoff, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4979173_uploaded_image1_1728164387.jpg,6000.0
Jordan enfants ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4976138_uploaded_image1_1728002356.jpg,20000.0
jordans enfants,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg,20000.0
Chaussures enfant,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg,4000.0
Chaussures enfants,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4934544_uploaded_image1_1725833379.jpg,13000.0
Baskets Nike enfants,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4930603_uploaded_image1_1725607998.jpg,15000.0
Baskets Jordan enfants,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4930596_uploaded_image1_1725607117.jpg,15000.0
Chaussures enfant ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4928091_uploaded_image1_1725487369.jpg,17000.0
Baskets  Jordan enfants ,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4928088_uploaded_image1_1725487276.jpg,16000.0
Baskets Jordan 6 ,"Rufisque, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4921251_uploaded_image1_1725193733.jpg,11000.0
Baskets Nike React ,"Rufisque, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4921241_uploaded_image1_1725193496.jpg,9000.0
Baskets enfant,"Rufisque, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4921233_uploaded_image1_1725193317.jpg,8000.0
Chaussures enfant,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4870683_uploaded_image2_1722496365.jpeg,20000.0
Chaussures enfants,"Keur Massar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4797078_uploaded_image1_1718482814.jpg,3000.0
Chaussures bébé et enfant,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4783650_uploaded_image2_1717719898.jpeg,10718.75
Chaussures filles,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4781990_uploaded_image1_1717637500.jpg,25000.0
Chaussures enfants,"Dakar Plateau, Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4781989_uploaded_image1_1717637364.jpg,15000.0
Chaussures enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4779994_uploaded_image1_1717548193.jpg,8000.0
Chaussures enfants,"Dakar, Sénégal",https://sn.coinafrique.com/categorie/chaussures-enfantshttps://images.coinafrique.com/thumb_4779993_uploaded_image1_1717548114.jpg,8000.0
