type_habits,adress,image_link,price
Pantalon homme,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5605460_uploaded_image1_1762280079.jpg,9000.0
Tee-shirts,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5605452_uploaded_image1_1762279838.jpg,3500.0
Abaya homme bleu ciel,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5604148_uploaded_image1_1762219990.jpg,20000.0
Fripperie - Vintage Milano,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5599288_uploaded_image2_1761942499.jpeg,11522.784810126583
T-shirts en coton,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg,5000.0
Polo en coton,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5554258_uploaded_image1_1759400484.jpg,7000.0
Djalabeh,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5577770_uploaded_image1_1760656538.jpg,10000.0
Polo homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5563761_uploaded_image1_1759876759.jpg,7000.0
Pantalon kaki,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5563760_uploaded_image1_1759876646.jpg,8000.0
Ensemble kaki + polo,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5563767_uploaded_image1_1759876864.jpg,15000.0
Jeans ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5568602_uploaded_image1_1760134872.jpg,7000.0
T-shirt ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5568202_uploaded_image1_1760117937.jpg,3000.0
Pantalon bas large ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5567797_uploaded_image1_1760099504.jpg,7000.0
Ensemble en lin,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5571613_uploaded_image1_1760357230.jpg,8000.0
Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5551999_uploaded_image1_1759307137.jpg,12000.0
Pantalon bas large,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5550768_uploaded_image1_1759250295.jpg,7000.0
T-shirt Lacoste ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5584603_uploaded_image1_1761052072.jpg,5000.0
Ensemble short,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5569824_uploaded_image1_1760223295.jpg,8000.0
T-shirts 100% coton ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5555673_uploaded_image1_1759439295.jpg,6000.0
Caleçons ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5549020_uploaded_image1_1759172798.jpg,1000.0
Pantalon bas large,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5549025_uploaded_image1_1759172921.jpg,7000.0
T-shirts unique 100% coton ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5549028_uploaded_image1_1759173041.jpg,3000.0
Short jeans,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5549017_uploaded_image1_1759172693.jpg,7000.0
Jeans,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548983_uploaded_image1_1759170801.jpg,9000.0
Short,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548982_uploaded_image1_1759170753.jpg,6000.0
Lacoste ,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5548975_uploaded_image1_1759170491.jpg,7000.0
